categorical_accuracy,loss,precision,recall,val_categorical_accuracy,val_loss,val_precision,val_recall,learning_rate
0.4691428542137146,1.624481201171875,0.5120813846588135,0.3451428711414337,0.2513369023799896,51.864524841308594,0.25100672245025635,0.25,0.0010000000474974513
0.47771430015563965,1.4118620157241821,0.5417230725288391,0.34314286708831787,0.25,82.01239013671875,0.25,0.25,0.0010000000474974513
0.5097143054008484,1.2268497943878174,0.5951456427574158,0.35028570890426636,0.26203209161758423,8.228297233581543,0.26778241991996765,0.25668448209762573,0.0010000000474974513
0.5648571252822876,1.0632718801498413,0.6441964507102966,0.412285715341568,0.25,55.18329620361328,0.25,0.25,0.0010000000474974513
0.5982857346534729,1.0408308506011963,0.6546412706375122,0.46142858266830444,0.34224599599838257,7.515867710113525,0.34048256278038025,0.3395721912384033,0.0010000000474974513
0.6211428642272949,0.9777058959007263,0.6802959442138672,0.4991428554058075,0.2660427689552307,11.592296600341797,0.26639893651008606,0.2660427689552307,0.0010000000474974513
0.6102856993675232,0.9818069934844971,0.6628440618515015,0.49542856216430664,0.34090909361839294,13.248061180114746,0.34557822346687317,0.3395721912384033,0.0010000000474974513
0.6282857060432434,0.9116490483283997,0.6847545504570007,0.5299999713897705,0.5254010558128357,1.1087360382080078,0.5403624176979065,0.4385026693344116,0.0010000000474974513
0.6551428437232971,0.8536707758903503,0.7116986513137817,0.5614285469055176,0.40909090638160706,3.64668607711792,0.41239893436431885,0.40909090638160706,0.0010000000474974513
0.6717143058776855,0.8053818345069885,0.7200000286102295,0.5914285778999329,0.6911764740943909,0.731160044670105,0.7495934963226318,0.616310179233551,0.0010000000474974513
0.6940000057220459,0.7646569609642029,0.7363790273666382,0.6217142939567566,0.6564171314239502,0.7988325953483582,0.6920684576034546,0.5949198007583618,0.0010000000474974513
0.6954285502433777,0.7553954124450684,0.7457395792007446,0.6251428723335266,0.5080214142799377,1.4211010932922363,0.5278970003128052,0.49331551790237427,0.0010000000474974513
0.7117142677307129,0.7057884335517883,0.7580321431159973,0.6471428275108337,0.5935828685760498,1.0575412511825562,0.6034985184669495,0.5534759163856506,0.0010000000474974513
0.730571448802948,0.6750038862228394,0.7747629880905151,0.677142858505249,0.6858288645744324,0.7458025813102722,0.7149122953414917,0.653743326663971,0.0010000000474974513
0.7285714149475098,0.67540442943573,0.7720224261283875,0.668571412563324,0.5481283664703369,1.379223346710205,0.5625899434089661,0.5227272510528564,0.0010000000474974513
0.7654285430908203,0.5856003761291504,0.8016555309295654,0.7194285988807678,0.7847593426704407,0.5076467394828796,0.8128654956817627,0.7433155179023743,0.00020000000949949026
0.7871428728103638,0.5529630184173584,0.8195441961288452,0.75,0.8048128485679626,0.5385135412216187,0.8253275156021118,0.7580214142799377,0.00020000000949949026
0.8031428456306458,0.5331047773361206,0.8310120701789856,0.7671428322792053,0.6136363744735718,0.9110305905342102,0.6529318690299988,0.5508021116256714,0.00020000000949949026
0.803428590297699,0.5185457468032837,0.8324005007743835,0.7648571133613586,0.7860962748527527,0.4981784522533417,0.8092566728591919,0.7713903784751892,0.00020000000949949026
0.8054285645484924,0.5127769708633423,0.8326693177223206,0.776285707950592,0.7606951594352722,0.5609923005104065,0.7857142686843872,0.7352941036224365,0.00020000000949949026
0.8065714240074158,0.5073062777519226,0.8395556807518005,0.7774285674095154,0.8021390438079834,0.48759767413139343,0.8172804713249207,0.7713903784751892,0.00020000000949949026
0.8111428618431091,0.484646201133728,0.8407838344573975,0.7845714092254639,0.6457219123840332,1.0146708488464355,0.6591549515724182,0.625668466091156,0.00020000000949949026
0.8202857375144958,0.48516109585762024,0.8445391058921814,0.7931428551673889,0.7513368725776672,0.5696623921394348,0.7685714364051819,0.7192513346672058,0.00020000000949949026
0.8220000267028809,0.46202561259269714,0.846759557723999,0.7988571524620056,0.7339572310447693,0.6350003480911255,0.7620437741279602,0.6978609561920166,0.00020000000949949026
0.8197143077850342,0.46933019161224365,0.8447751998901367,0.7945713996887207,0.8034759163856506,0.4830831289291382,0.8236131072044373,0.7740641832351685,0.00020000000949949026
0.819428563117981,0.46207311749458313,0.8449636101722717,0.795714259147644,0.6403743028640747,1.1258139610290527,0.6791604161262512,0.605614960193634,0.00020000000949949026
0.8285714387893677,0.45617619156837463,0.8526826500892639,0.8037142753601074,0.7727272510528564,0.5601804256439209,0.7943262457847595,0.7486631274223328,0.00020000000949949026
0.8231428861618042,0.4518197774887085,0.8480096459388733,0.803428590297699,0.6002673506736755,1.099618673324585,0.6258992552757263,0.5815507769584656,0.00020000000949949026
0.838857114315033,0.42867574095726013,0.860977053642273,0.8157142996788025,0.8262032270431519,0.4502563774585724,0.8349249362945557,0.8181818127632141,0.00020000000949949026
0.8437142968177795,0.41292399168014526,0.8630755543708801,0.819428563117981,0.8088235259056091,0.45066189765930176,0.8156808614730835,0.7927807569503784,0.00020000000949949026
0.8294285535812378,0.4332393407821655,0.8536953330039978,0.808571457862854,0.6470588445663452,1.1354074478149414,0.6846715211868286,0.6270053386688232,0.00020000000949949026
0.8414285778999329,0.4192887544631958,0.8601860404014587,0.8191428780555725,0.7834224700927734,0.5448843836784363,0.799723744392395,0.7740641832351685,0.00020000000949949026
0.8374285697937012,0.42972907423973083,0.8601315021514893,0.8222857117652893,0.6296791434288025,0.9929522275924683,0.673652708530426,0.6016042828559875,0.00020000000949949026
0.8479999899864197,0.4109114110469818,0.8646616339683533,0.8214285969734192,0.7860962748527527,0.5125659108161926,0.8035961389541626,0.7767379879951477,0.00020000000949949026
0.8659999966621399,0.3538062274456024,0.8827915191650391,0.845714271068573,0.8489304780960083,0.3742148280143738,0.8631284832954407,0.8262032270431519,4.0000002627493814e-05
