accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.4471428692340851,1.6728856563568115,0.47044837474823,0.39571428298950195,0.25,2.897010087966919,0.25,0.25,0.0010000000474974513
0.5291428565979004,1.458689570426941,0.5550805926322937,0.4822857081890106,0.25,3.240683078765869,0.25,0.25,0.0010000000474974513
0.5600000023841858,1.215631365776062,0.5969996452331543,0.5002856850624084,0.3449198007583618,2.6562585830688477,0.34659090638160706,0.32620319724082947,0.0010000000474974513
0.590571403503418,1.0482159852981567,0.6405594348907471,0.5234285593032837,0.4157753884792328,2.2231345176696777,0.4285714328289032,0.4050801992416382,0.0010000000474974513
0.6299999952316284,0.9442347288131714,0.6849315166473389,0.5571428537368774,0.47727271914482117,1.3141467571258545,0.5532710552215576,0.3957219123840332,0.0010000000474974513
0.6414285898208618,0.8727145195007324,0.689845085144043,0.5725714564323425,0.5240641832351685,1.2266565561294556,0.5727699398994446,0.4893048107624054,0.0010000000474974513
0.6717143058776855,0.8101691007614136,0.7223174571990967,0.6019999980926514,0.7192513346672058,0.7255388498306274,0.8055555820465088,0.6203208565711975,0.0010000000474974513
0.6845714449882507,0.7646430134773254,0.7412850260734558,0.6197142601013184,0.5815507769584656,1.0168813467025757,0.6260162591934204,0.5147058963775635,0.0010000000474974513
0.7048571705818176,0.7403945326805115,0.7537637948989868,0.6437143087387085,0.5467914342880249,1.178946852684021,0.5701492428779602,0.5106951594352722,0.0010000000474974513
0.7185714244842529,0.7259760499000549,0.7548108696937561,0.6499999761581421,0.5013368725776672,1.5159687995910645,0.530701756477356,0.4852941036224365,0.0010000000474974513
0.7145714163780212,0.7179386019706726,0.7570215463638306,0.6622856855392456,0.6203208565711975,1.10988187789917,0.6682170629501343,0.5762032270431519,0.0010000000474974513
0.7228571176528931,0.695002555847168,0.767336368560791,0.6765714287757874,0.5762032270431519,0.9367834329605103,0.6126543283462524,0.5307486653327942,0.0010000000474974513
0.7440000176429749,0.6421284675598145,0.7882238030433655,0.6922857165336609,0.7459893226623535,0.6186843514442444,0.7749287486076355,0.7272727489471436,0.00020000000949949026
0.7599999904632568,0.6117267608642578,0.805483877658844,0.7134285569190979,0.7433155179023743,0.6139296293258667,0.7785817384719849,0.7192513346672058,0.00020000000949949026
0.7725714445114136,0.585788905620575,0.8044570088386536,0.732285737991333,0.7633689641952515,0.611698567867279,0.7868162989616394,0.75,0.00020000000949949026
0.7825714349746704,0.5609579682350159,0.812951922416687,0.7388571500778198,0.7874331474304199,0.5261961817741394,0.8168812394142151,0.7633689641952515,0.00020000000949949026
0.7788571715354919,0.5483657121658325,0.8146295547485352,0.7445714473724365,0.7473261952400208,0.6709275841712952,0.758571445941925,0.7098930478096008,0.00020000000949949026
0.7837142944335938,0.5575538277626038,0.8128325343132019,0.7419999837875366,0.8101603984832764,0.4864601790904999,0.8271954655647278,0.7807486653327942,0.00020000000949949026
0.7808571457862854,0.5472267270088196,0.8095830678939819,0.7434285879135132,0.7820855379104614,0.5432391166687012,0.8040638566017151,0.740641713142395,0.00020000000949949026
0.7874285578727722,0.5424812436103821,0.8209972381591797,0.7574285864830017,0.7994652390480042,0.5290070176124573,0.8198581337928772,0.7727272510528564,0.00020000000949949026
0.7928571701049805,0.5297701358795166,0.8240596652030945,0.7574285864830017,0.7901069521903992,0.5329604744911194,0.8067700862884521,0.7647058963775635,0.00020000000949949026
0.797428548336029,0.510328471660614,0.8288819789886475,0.7625714540481567,0.8074866533279419,0.4948783814907074,0.8214783668518066,0.7874331474304199,0.00020000000949949026
0.8125714063644409,0.4956281781196594,0.8389385938644409,0.7768571376800537,0.759358286857605,0.5790372490882874,0.7751724123954773,0.7513368725776672,0.00020000000949949026
0.8165714144706726,0.48201268911361694,0.8431130051612854,0.7799999713897705,0.8128342032432556,0.48650968074798584,0.8333333134651184,0.7887700796127319,4.0000002627493814e-05
0.8145714402198792,0.48236674070358276,0.8405752778053284,0.7848571538925171,0.8155080080032349,0.4643931984901428,0.8351955413818359,0.7994652390480042,4.0000002627493814e-05
0.8134285807609558,0.4760945439338684,0.8384451866149902,0.7888571619987488,0.8248662948608398,0.4327220916748047,0.8381742835044861,0.8101603984832764,4.0000002627493814e-05
0.8188571333885193,0.4761354327201843,0.8392802476882935,0.7862856984138489,0.8368983864784241,0.4156001806259155,0.8471074104309082,0.8221924901008606,4.0000002627493814e-05
0.833142876625061,0.4315159320831299,0.8574916124343872,0.8028571605682373,0.8342245817184448,0.4265866279602051,0.8529411554336548,0.8141711354255676,4.0000002627493814e-05
0.8248571157455444,0.45147904753685,0.8500913977622986,0.7971428632736206,0.8275400996208191,0.44890740513801575,0.8428372740745544,0.8101603984832764,4.0000002627493814e-05
0.8299999833106995,0.4431270360946655,0.8512898087501526,0.8014285564422607,0.8395721912384033,0.41232237219810486,0.8557558655738831,0.8248662948608398,4.0000002627493814e-05
0.8399999737739563,0.4315974712371826,0.8628169894218445,0.806857168674469,0.8248662948608398,0.4476916790008545,0.8474341034889221,0.8168449401855469,4.0000002627493814e-05
0.8351428508758545,0.4317600429058075,0.8592233061790466,0.8091428279876709,0.8368983864784241,0.4303348660469055,0.8480662703514099,0.8208556175231934,4.0000002627493814e-05
