loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
1.6195372343063354,0.505142867565155,0.5313520431518555,0.4648571312427521,3.7465341091156006,0.25,0.25,0.25
1.1510164737701416,0.6031428575515747,0.6404234170913696,0.5531428456306458,2.9839112758636475,0.25,0.25,0.25
1.0690968036651611,0.6182857155799866,0.6516526341438293,0.574571430683136,2.138732671737671,0.25,0.25,0.25
0.9917857646942139,0.6331428289413452,0.6667751669883728,0.5854285955429077,3.0677802562713623,0.25,0.25,0.25
0.8955861926078796,0.6605714559555054,0.6924564838409424,0.6137142777442932,4.228822231292725,0.25,0.25,0.25
0.8696886897087097,0.6605714559555054,0.6995057463645935,0.6065714359283447,5.421858787536621,0.25,0.25,0.25
0.7759978175163269,0.6880000233650208,0.7398265600204468,0.6337142586708069,3.604050874710083,0.19919785857200623,0.19409938156604767,0.1671123057603836
0.9282177090644836,0.6402857303619385,0.6815159320831299,0.5857142806053162,1.7602410316467285,0.37165775895118713,0.4371134042739868,0.28342247009277344
0.9547157287597656,0.6271428465843201,0.6721083521842957,0.5528571605682373,2.0045740604400635,0.33556148409843445,0.3365651071071625,0.32486632466316223
0.9743136763572693,0.6211428642272949,0.6673582196235657,0.5514285564422607,5.148020267486572,0.2754010558128357,0.27688172459602356,0.2754010558128357
0.8899414539337158,0.6434285640716553,0.6869506239891052,0.5805714130401611,1.5560252666473389,0.39438503980636597,0.4418181777000427,0.32486632466316223
0.8009554743766785,0.6842857003211975,0.7257636189460754,0.6245714426040649,2.356652021408081,0.437165766954422,0.45120227336883545,0.4264705777168274
0.7714883089065552,0.6888571381568909,0.729310929775238,0.6320000290870667,2.459433078765869,0.44117647409439087,0.44701087474823,0.43983957171440125
0.7333412170410156,0.7114285826683044,0.7487636208534241,0.6488571166992188,1.7331256866455078,0.46657752990722656,0.5044722557067871,0.37700533866882324
0.6758637428283691,0.727142870426178,0.7668308615684509,0.6671428680419922,1.5201722383499146,0.5681818127632141,0.6012269854545593,0.5240641832351685
0.6776046752929688,0.7311428785324097,0.7736093401908875,0.6834285855293274,3.365490198135376,0.28475937247276306,0.2824324369430542,0.27941176295280457
0.6478017568588257,0.7468571662902832,0.7813908457756042,0.6934285759925842,1.3787169456481934,0.5521390438079834,0.5742856860160828,0.5374331474304199
0.617715060710907,0.75685715675354,0.7908745408058167,0.7131428718566895,1.0878405570983887,0.6323529481887817,0.6612903475761414,0.6029411554336548
0.6034306883811951,0.7617142796516418,0.79942786693573,0.7185714244842529,1.1138687133789062,0.6270053386688232,0.6427525877952576,0.5868983864784241
0.6004549860954285,0.7622857093811035,0.7941550016403198,0.7142857313156128,0.7808067798614502,0.7179144620895386,0.7460317611694336,0.6911764740943909
0.5771515965461731,0.769428551197052,0.8011221885681152,0.7342857122421265,1.0541481971740723,0.5655080080032349,0.610675036907196,0.5200534462928772
0.5844300985336304,0.7765714526176453,0.8079574108123779,0.7368571162223816,0.6124909520149231,0.7540106773376465,0.7822349667549133,0.7299465537071228
0.556094765663147,0.7857142686843872,0.8164852261543274,0.75,1.6760841608047485,0.5026738047599792,0.5202797055244446,0.49732619524002075
0.5483057498931885,0.7839999794960022,0.8132715821266174,0.7528571486473083,0.6456150412559509,0.7660427689552307,0.7863247990608215,0.7379679083824158
0.5161287188529968,0.7917143106460571,0.8229842185974121,0.7611428499221802,1.022966980934143,0.6657754182815552,0.6871428489685059,0.643048107624054
0.5240374207496643,0.7962856888771057,0.8230061531066895,0.7665714025497437,0.8199276924133301,0.7125668525695801,0.73617023229599,0.6938502788543701
0.5183523893356323,0.7954285740852356,0.823493242263794,0.7651428580284119,0.5639165639877319,0.7874331474304199,0.8033472895622253,0.7700534462928772
0.4886024594306946,0.8131428360939026,0.83807772397995,0.7822856903076172,0.9707657694816589,0.6310160160064697,0.6642441749572754,0.6109625697135925
0.480721116065979,0.8128571510314941,0.8350515365600586,0.7868571281433105,0.7584882974624634,0.7419785857200623,0.7615708112716675,0.7259358167648315
0.48798567056655884,0.8157142996788025,0.8381817936897278,0.7902857065200806,0.5861451625823975,0.8021390438079834,0.8158996105194092,0.7820855379104614
0.4865068793296814,0.8128571510314941,0.8353047966957092,0.7868571281433105,0.5089746117591858,0.8114973306655884,0.8201936483383179,0.7927807569503784
0.4826313853263855,0.8157142996788025,0.8347483277320862,0.7865714430809021,0.8825493454933167,0.6296791434288025,0.6445698142051697,0.6109625697135925
0.4489041566848755,0.8271428346633911,0.8493939638137817,0.8008571267127991,0.6350875496864319,0.7767379879951477,0.788811206817627,0.7540106773376465
0.47245511412620544,0.8182857036590576,0.8403642177581787,0.7911428809165955,0.8616552352905273,0.7125668525695801,0.7439544796943665,0.6991978883743286
0.4632225036621094,0.8199999928474426,0.8429176807403564,0.795714259147644,1.3425822257995605,0.5508021116256714,0.5682137608528137,0.5401069521903992
0.426986426115036,0.8371428847312927,0.8549113869667053,0.8131428360939026,0.7590776085853577,0.7540106773376465,0.7634854912757874,0.7379679083824158
0.4629369080066681,0.821142852306366,0.83893221616745,0.7991428375244141,1.0080947875976562,0.6377005577087402,0.6553191542625427,0.6176470518112183
